(-2570141.1025, -4376776.7195, 3849595.6241)
(-2570141.0981, -4376776.7149, 3849595.6185000003)
(-2570141.0982, -4376776.715299999, 3849595.6201)
(-2570141.1036, -4376776.7148, 3849595.6193)
(-2570141.1038, -4376776.719099999, 3849595.6270999997)
(-2570141.1035, -4376776.7179, 3849595.6225)
(-2570141.1044, -4376776.7155, 3849595.6219)
(-2570141.1022, -4376776.7131, 3849595.62)
(-2570141.1033, -4376776.7166, 3849595.6188000003)
(-2570141.1037, -4376776.7205, 3849595.6228)
(-2570141.1008, -4376776.717, 3849595.6237)
(-2570141.1027, -4376776.7151, 3849595.6210000003)
(-2570141.1003, -4376776.7183, 3849595.6255)
(-2570141.1016, -4376776.7177, 3849595.6208)
(-2570141.1015, -4376776.7111, 3849595.6163000003)
(-2570141.1029000003, -4376776.7162, 3849595.6224)
(-2570141.1003, -4376776.7121, 3849595.6210000003)
(-2570141.0965, -4376776.7099, 3849595.6184)
(-2570141.0986, -4376776.7122, 3849595.6172)
(-2570141.1002, -4376776.714, 3849595.6225)
(-2570141.1006, -4376776.7139, 3849595.6224)
(-2570141.1006, -4376776.715299999, 3849595.617)
(-2570141.0991, -4376776.7171, 3849595.619)
(-2570141.1009, -4376776.7137, 3849595.6191000002)
(-2570141.1004, -4376776.7137, 3849595.6221000003)
(-2570141.1003, -4376776.7132, 3849595.6206)
(-2570141.0979, -4376776.7118999995, 3849595.6177000003)
